Country_Code,Year,WB_Pubs
SST,2021,6813.63529831065
SST,2020,6259.83570834548
SST,2019,5750.0173260318
SST,2018,5457.82002085869
SST,2017,5318.25697901008
SST,2016,5029.55
SST,2015,4530.96
SST,2014,4658.41
SST,2013,4275.8
SST,2012,4091.53
SST,2011,3679.21279356572
SST,2010,3655.72911654435
SST,2009,3127.01143399043
SST,2008,2848.45791720533
SST,2007,2620.39672911312
SST,2006,2300.50435426072
SST,2005,2051.03021650296
SST,2004,1742.19847441654
SST,2003,1509.24032585375
SST,2002,1458.54594475119
SST,2001,1318.47674995257
SST,2000,1225.65209743181
SST,1999,1212.05048194914
SST,1998,1170.30652547918
SST,1997,1068.13976097568
SST,1996,1006.81559454131
SAS,2022,218779.83
SAS,2021,191677.99
SAS,2020,156946.96
SAS,2019,140852.78
SAS,2018,135776.72
SAS,2017,118572.9
SAS,2016,111876.52
SAS,2015,101809.62
SAS,2014,95487.53
SAS,2013,85862.98
SAS,2012,81084.81
SAS,2011,73751.41
SAS,2010,62600.67
SAS,2009,55246.74
SAS,2008,49688.62
SAS,2007,43756.28
